fund,year,amount_usd,note,source
SFF,2019,2000000,funder-rounded annual total ($MM) from SFF home page,https://survivalandflourishing.fund/
SFF,2020,5000000,funder-rounded annual total ($MM) from SFF home page,https://survivalandflourishing.fund/
SFF,2021,20000000,funder-rounded annual total ($MM) from SFF home page,https://survivalandflourishing.fund/
SFF,2022,16000000,funder-rounded annual total ($MM) from SFF home page,https://survivalandflourishing.fund/
SFF,2023,33000000,funder-rounded annual total ($MM) from SFF home page,https://survivalandflourishing.fund/
SFF,2024,41000000,funder-rounded annual total ($MM) from SFF home page,https://survivalandflourishing.fund/
SFF,2025,34920000,precise SFF-2025 round total from announcement text,https://survivalandflourishing.fund/
